#filename, timestamp(s), timestamp_user_format, timeoffset(s)
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11080.tif, 1625589431.1751642, 2021-07-06 12:37:11, 3642.062014102936
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11084.tif, 1625589571.2570372, 2021-07-06 12:39:31, 3782.1438870429993
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11088.tif, 1625589711.3448372, 2021-07-06 12:41:51, 3922.231687068939
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11092.tif, 1625589851.2974992, 2021-07-06 12:44:11, 4062.1843490600586
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11096.tif, 1625589991.3137736, 2021-07-06 12:46:31, 4202.200623512268
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11100.tif, 1625590131.3920553, 2021-07-06 12:48:51, 4342.2789051532745
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11104.tif, 1625590271.4016771, 2021-07-06 12:51:11, 4482.288527011871
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11108.tif, 1625590411.3578377, 2021-07-06 12:53:31, 4622.2446875572205
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11112.tif, 1625590551.3808718, 2021-07-06 12:55:51, 4762.267721652985
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11116.tif, 1625590691.4011316, 2021-07-06 12:58:11, 4902.287981510162
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11120.tif, 1625590831.4495404, 2021-07-06 13:00:31, 5042.336390256882
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11124.tif, 1625590971.4416933, 2021-07-06 13:02:51, 5182.328543186188
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11128.tif, 1625591111.4398408, 2021-07-06 13:05:11, 5322.326690673828
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11132.tif, 1625591251.598465, 2021-07-06 13:07:31, 5462.485314846039
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11136.tif, 1625591391.5931604, 2021-07-06 13:09:51, 5602.480010271072
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11140.tif, 1625591531.581075, 2021-07-06 13:12:11, 5742.467924833298
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11144.tif, 1625591671.5356622, 2021-07-06 13:14:31, 5882.422512054443
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11148.tif, 1625591811.6005337, 2021-07-06 13:16:51, 6022.48738360405
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11152.tif, 1625591951.6146889, 2021-07-06 13:19:11, 6162.5015387535095
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11156.tif, 1625592091.6407957, 2021-07-06 13:21:31, 6302.527645587921
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11160.tif, 1625592231.693005, 2021-07-06 13:23:51, 6442.57985496521
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11164.tif, 1625592371.7506979, 2021-07-06 13:26:11, 6582.6375477313995
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11168.tif, 1625592511.7027636, 2021-07-06 13:28:31, 6722.589613437653
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11172.tif, 1625592651.711112, 2021-07-06 13:30:51, 6862.597961902618
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11176.tif, 1625592791.722094, 2021-07-06 13:33:11, 7002.608943939209
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11180.tif, 1625592931.707189, 2021-07-06 13:35:31, 7142.594038963318
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11184.tif, 1625593071.776577, 2021-07-06 13:37:51, 7282.663426876068
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11188.tif, 1625593211.800531, 2021-07-06 13:40:11, 7422.68738079071
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11192.tif, 1625593351.7696, 2021-07-06 13:42:31, 7562.656449794769
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11196.tif, 1625593491.8356092, 2021-07-06 13:44:51, 7702.722459077835
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11200.tif, 1625593631.864709, 2021-07-06 13:47:11, 7842.75155878067
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11204.tif, 1625593771.8808346, 2021-07-06 13:49:31, 7982.767684459686
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11208.tif, 1625593911.8248405, 2021-07-06 13:51:51, 8122.711690425873
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11212.tif, 1625594051.8092098, 2021-07-06 13:54:11, 8262.696059703827
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11216.tif, 1625594191.8697934, 2021-07-06 13:56:31, 8402.756643295288
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11220.tif, 1625594331.8220673, 2021-07-06 13:58:51, 8542.70891714096
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11224.tif, 1625594471.8111691, 2021-07-06 14:01:11, 8682.69801902771
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11228.tif, 1625594611.8650603, 2021-07-06 14:03:31, 8822.751910209656
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11232.tif, 1625594751.9612336, 2021-07-06 14:05:51, 8962.848083496094
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11236.tif, 1625594891.9894805, 2021-07-06 14:08:11, 9102.876330375671
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11240.tif, 1625595031.9498143, 2021-07-06 14:10:31, 9242.83666419983
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11244.tif, 1625595171.9721289, 2021-07-06 14:12:51, 9382.858978748322
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11248.tif, 1625595312.036313, 2021-07-06 14:15:12, 9522.923162937164
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11252.tif, 1625595452.0232258, 2021-07-06 14:17:32, 9662.91007566452
/HFIR/CG1D/IPTS-25696/shared/processed_data/jean_analysis/dicharge_combined_by_4/20210706_NMC_Li7_Full_Cell_kapton_1st_dischar_0030_11256.tif, 1625595592.1009688, 2021-07-06 14:19:52, 9802.987818717957
